ID_Uniq,ID1,Batch,Treatment,Group,Diagnosis,Months_Post_Exposure,Skin_Thickness,Total_VL_Score,M_bovis_PCR,IS1081_PCR,VL_Status,Rx_VL_Status,Parasite_At_PM
46,653,2,Control,CS,SIT,4,22,31,Positive,Positive,Positive,Control_Positive,Fasciola
47,457,2,Control,CS,SIT,4,18,14,Positive,Positive,Positive,Control_Positive,None
48,924,2,Control,CS,SIT,4,14,23,Negative,Negative,Positive,Control_Positive,Fasciola
49,938,2,Control,CS,SIT,4,1,0,Negative,Negative,Negative,Control_Negative,None
50,926,2,Control,CS,SIT,4,25,104,Positive,Positive,Positive,Control_Positive,None
51,964,2,Vaccinate,VS,SIT,4,1,23,Positive,Positive,Positive,Vaccinate_Positive,None
52,962,2,Vaccinate,VS,SIT,4,8,16,Positive,Positive,Positive,Vaccinate_Positive,None
53,959,2,Vaccinate,VS,SIT,4,11,64,Positive,Positive,Positive,Vaccinate_Positive,None
54,48,2,Vaccinate,VS,SIT,4,5,0,Positive,Positive,Negative,Vaccinate_Negative,None
55,449,2,Vaccinate,VS,SIT,4,9,6,Negative,Negative,Positive,Vaccinate_Positive,None
56,63,2,Vaccinate,VS,SIT,4,15,39,Positive,Positive,Positive,Vaccinate_Positive,None
57,948,2,Vaccinate,VS,SIT,4,7,1,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
58,64,2,Vaccinate,VS,SIT,4,2,4,Positive,Positive,Positive,Vaccinate_Positive,None
59,713,2,Vaccinate,VS,SIT,4,1,100,Positive,Positive,Positive,Vaccinate_Positive,None
60,52,2,Vaccinate,VS,SIT,4,13,35,Positive,Positive,Positive,Vaccinate_Positive,None
61,51,2,Vaccinate,VS,SIT,4,1,18,Negative,Negative,Positive,Vaccinate_Positive,None
62,65,2,Vaccinate,VS,SIT,4,1,16,Negative,Negative,Positive,Vaccinate_Positive,None
63,945,2,Vaccinate,VS,SIT,4,0,6,Positive,Positive,Positive,Vaccinate_Positive,None
64,459,2,Vaccinate,VS,SIT,4,5,4,Positive,Positive,Positive,Vaccinate_Positive,None
65,934,2,Vaccinate,VS,SIT,4,1,18,Positive,Positive,Positive,Vaccinate_Positive,None
66,85,2,Vaccinate,VS,SIT,4,11,11,Positive,Positive,Positive,Vaccinate_Positive,None
67,445,2,Vaccinate,VS,SIT,4,0,28,Positive,Positive,Positive,Vaccinate_Positive,None
68,202,I,Vaccinate,V-CS,SIT,4,3,0,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
69,1105,I,Control,C-VS,SIT,4,0,44,Positive,Positive,Positive,Control_Positive,None
70,1128,I,Vaccinate,V-VS,SIT,4,1,0,Negative,Negative,Negative,Vaccinate_Negative,None
71,0068H,I,Vaccinate,V-VS,SIT,4,-1,1,Negative,Negative,Positive,Vaccinate_Positive,None
72,0067H,I,Vaccinate,V-VS,SIT,4,1,0,Positive,Positive,Negative,Vaccinate_Negative,None
73,0070H,I,Vaccinate,V-CS,SIT,4,0,3,Negative,Negative,Positive,Vaccinate_Positive,None
74,497,I,Vaccinate,V-VS,SIT,4,1,1,Negative,Negative,Positive,Vaccinate_Positive,None
75,1135,I,Vaccinate,V-CS,SIT,4,6,2,Positive,Positive,Positive,Vaccinate_Positive,None
76,119,I,Control,C-VS,SIT,4,1,3,Positive,Positive,Positive,Control_Positive,None
77,1113,I,Control,C-VS,SIT,4,0,18,Negative,Negative,Positive,Control_Positive,None
78,120,I,Vaccinate,V-VS,SIT,4,3,0,Negative,Negative,Negative,Vaccinate_Negative,Hydatid
79,078H,I,Control,C-CS,SIT,4,13,6,Positive,Positive,Positive,Control_Positive,None
80,1111,I,Vaccinate,V-CS,SIT,4,0,0,Positive,Positive,Negative,Vaccinate_Negative,None
81,495,I,Vaccinate,V-CS,SIT,4,0,4,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
82,1074.1,I,Control,C-VS,SIT,4,1,8,Positive,Positive,Positive,Control_Positive,None
83,099.2.3,I,Control,C-VS,SIT,4,0,2,Positive,Positive,Positive,Control_Positive,None
84,1126,I,Control,C-CS,SIT,4,19,5,Positive,Positive,Positive,Control_Positive,None
85,491,I,Vaccinate,V-VS,SIT,4,1,4,Positive,Positive,Positive,Vaccinate_Positive,None
86,489,I,Control,C-VS,SIT,4,0,5,Positive,Positive,Positive,Control_Positive,None
87,081H,I,Control,C-CS,SIT,4,11,5,Positive,Positive,Positive,Control_Positive,Fasciola
88,Z014.2.2,I,Control,C-CS,SIT,4,6,65,Positive,Positive,Positive,Control_Positive,None
89,493,I,Vaccinate,V-CS,SIT,4,3,0,Negative,Negative,Negative,Vaccinate_Negative,None
90,A.11.2,I,Control,C-VS,SIT,4,1,0,Positive,Positive,Negative,Control_Negative,None
91,204,I,Control,C-VS,SIT,4,1,3,Negative,Negative,Positive,Control_Positive,None
92,G201,I,Control,C-VS,SIT,4,0,0,Negative,Negative,Negative,Control_Negative,None
93,03.2.2.1,I,Vaccinate,V-VS,SIT,4,1,2,Negative,Negative,Positive,Vaccinate_Positive,None
94,478,I,Control,C-VS,SIT,4,0,0,Negative,Negative,Negative,Control_Negative,None
95,206,I,Vaccinate,V-CS,SIT,4,1,3,Negative,Negative,Positive,Vaccinate_Positive,None
96,475,I,Control,C-VS,SIT,4,0,0,Negative,Negative,Negative,Control_Negative,None
97,1160,I,Control,C-CS,SIT,4,0,2,Negative,Negative,Positive,Control_Positive,None
98,477,I,Control,C-CS,SIT,4,0,15,Positive,Positive,Positive,Control_Positive,Fasciola
99,207,I,Vaccinate,V-CS,SIT,4,10,2,Positive,Positive,Positive,Vaccinate_Positive,None
100,055.1.3,I,Control,C-CS,SIT,4,12,3,Positive,Positive,Positive,Control_Positive,None
101,1165,I,Control,C-CS,SIT,4,0,2,Negative,Negative,Positive,Control_Positive,None
102,1141,I,Control,C-VS,SIT,4,0,3,Negative,Negative,Positive,Control_Positive,None
103,1154,I,Vaccinate,V-CS,SIT,4,3,6,Positive,Positive,Positive,Vaccinate_Positive,None
104,1159,I,Vaccinate,V-VS,SIT,4,3,0,Negative,Negative,Negative,Vaccinate_Negative,None
105,1147,I,Vaccinate,V-CS,SIT,4,7,0,Negative,Negative,Negative,Vaccinate_Negative,None
106,96.5,II,Control,C-VS,SIT,4,1,4,Positive,Positive,Positive,Control_Positive,None
107,099.2.1.1,II,Vaccinate,V-VS,SIT,4,4,3,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
108,132,II,Control,C-CS,SIT,4,15,10,Positive,Positive,Positive,Control_Positive,None
109,1168,II,Vaccinate,V-CS,SIT,4,0,10,Positive,Positive,Positive,Vaccinate_Positive,None
110,1171,II,Control,C-CS,SIT,4,10,6,Positive,Positive,Positive,Control_Positive,None
111,1174,II,Control,C-VS,SIT,4,-1,6,Positive,Positive,Positive,Control_Positive,Fasciola
112,1189,II,Control,C-VS,SIT,4,0,4,Positive,Positive,Positive,Control_Positive,Fasciola
113,1192,II,Control,C-VS,SIT,4,1,3,Positive,Positive,Positive,Control_Positive,Fasciola
114,1196,II,Vaccinate,V-CS,SIT,4,NA,0,Negative,Negative,Negative,Vaccinate_Negative,None
115,1198,II,Vaccinate,V-VS,SIT,4,26,58,Positive,Positive,Positive,Vaccinate_Positive,None
116,110.3.4,II,Vaccinate,V-CS,SIT,4,3,7,Positive,Positive,Positive,Vaccinate_Positive,None
117,081.1.4,II,Vaccinate,V-VS,SIT,4,0,11,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
118,087.2.3,II,Vaccinate,V-VS,SIT,4,2,1,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
119,024.2.1.1,II,Control,C-CS,SIT,4,NA,0,Negative,Negative,Negative,Control_Negative,None
120,083.3.4,II,Control,C-VS,SIT,4,0,4,Negative,Negative,Positive,Control_Positive,Fasciola
121,08.2.4.4,II,Control,C-VS,SIT,4,0,13,Negative,Negative,Positive,Control_Positive,Fasciola
122,410.1.1.2,II,Vaccinate,V-VS,SIT,4,1,3,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
123,135,II,Vaccinate,V-VS,SIT,4,4,2,Positive,Positive,Positive,Vaccinate_Positive,None
124,139,II,Vaccinate,V-CS,SIT,4,4,1,Positive,Positive,Positive,Vaccinate_Positive,None
125,140,II,Vaccinate,V-CS,SIT,4,1,0,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
126,501,II,Vaccinate,V-VS,SIT,4,1,4,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
127,503,II,Control,C-CS,SIT,4,16,5,Positive,Positive,Positive,Control_Positive,None
128,505,II,Vaccinate,V-VS,SIT,4,2,6,Positive,Positive,Positive,Vaccinate_Positive,None
129,507,II,Vaccinate,V-CS,SIT,4,3,5,Positive,Positive,Positive,Vaccinate_Positive,None
130,183,II,Control,C-CS,SIT,4,13,13,Positive,Positive,Positive,Control_Positive,Fasciola
131,182,II,Control,C-CS,SIT,4,0,2,Positive,Positive,Positive,Control_Positive,None
132,180,II,Vaccinate,V-CS,SIT,4,5,0,Negative,Negative,Negative,Vaccinate_Negative,None
133,196,II,Control,C-CS,SIT,4,10,35,Positive,Positive,Positive,Control_Positive,None
134,199,II,Control,C-CS,SIT,4,0,12,Positive,Positive,Positive,Control_Positive,None
1,119.1.3,1,Control,CS,SIT,8,20,116,Positive,Positive,Positive,Control_Positive,None
2,933,1,Control,CS,SIT,8,9,60,Positive,Positive,Positive,Control_Positive,None
3,893,1,Control,CS,SIT,8,32,10,Positive,Positive,Positive,Control_Positive,None
4,928,1,Control,CS,SIT,8,15,15,Negative,Negative,Positive,Control_Positive,Fasciola
5,091.1.3,1,Control,CS,SIT,8,14,23,Negative,Negative,Positive,Control_Positive,None
6,522,1,Control,CS,SIT,8,2,4,Positive,Positive,Positive,Control_Positive,None
7,891,1,Control,CS,SIT,8,27,3,Positive,Positive,Positive,Control_Positive,None
8,870,1,Control,CS,SIT,8,27,11,Negative,Negative,Positive,Control_Positive,None
9,525,1,Control,CS,SIT,8,23,53,Negative,Negative,Positive,Control_Positive,None
10,79,1,Control,CS,SIT,8,23,2,Negative,Negative,Positive,Control_Positive,None
11,448,1,Control,CS,SIT,8,18,71,Positive,Positive,Positive,Control_Positive,None
12,880,1,Control,CS,SIT,8,25,78,Positive,Positive,Positive,Control_Positive,None
13,520,1,Control,CS,SIT,8,23,34,Positive,Positive,Positive,Control_Positive,None
14,885,1,Control,CS,SIT,8,8,12,Positive,Positive,Positive,Control_Positive,None
15,882,1,Control,CS,SIT,8,22,72,Positive,Positive,Positive,Control_Positive,None
16,443,1,Control,CS,SIT,8,8,23,Positive,Positive,Positive,Control_Positive,Fasciola
17,521,1,Control,CS,SIT,8,17,16,Negative,Negative,Positive,Control_Positive,Fasciola
18,098.1.1.2,1,Vaccinate,VS,SIT,8,6,28,Positive,Positive,Positive,Vaccinate_Positive,None
19,919,1,Vaccinate,VS,SIT,8,20,72,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
20,518,1,Vaccinate,VS,SIT,8,NA,0,Negative,Negative,Negative,Vaccinate_Negative,None
21,936,1,Vaccinate,VS,SIT,8,5,5,Negative,Negative,Positive,Vaccinate_Positive,None
22,087.2.2,1,Vaccinate,VS,SIT,8,16,9,Negative,Negative,Positive,Vaccinate_Positive,None
23,890,1,Vaccinate,VS,SIT,8,NA,0,Negative,Negative,Negative,Vaccinate_Negative,None
24,914,1,Vaccinate,VS,SIT,8,1,4,Negative,Negative,Positive,Vaccinate_Positive,None
25,889,1,Vaccinate,VS,SIT,8,15,11,Positive,Positive,Positive,Vaccinate_Positive,None
26,102.1.1.1,1,Vaccinate,VS,SIT,8,13,15,Positive,Positive,Positive,Vaccinate_Positive,None
27,77,1,Vaccinate,VS,SIT,8,8,19,Positive,Positive,Positive,Vaccinate_Positive,None
28,901,1,Vaccinate,VS,SIT,8,25,8,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
29,902,1,Vaccinate,VS,SIT,8,25,9,Positive,Positive,Positive,Vaccinate_Positive,None
30,875,1,Vaccinate,VS,SIT,8,13,8,Positive,Positive,Positive,Vaccinate_Positive,None
31,895,1,Vaccinate,VS,SIT,8,13,7,Negative,Negative,Positive,Vaccinate_Positive,None
32,524,1,Vaccinate,VS,SIT,8,0,4,Positive,Positive,Positive,Vaccinate_Positive,None
33,449,1,Vaccinate,VS,SIT,8,28,6,Positive,Positive,Positive,Vaccinate_Positive,None
34,84,1,Vaccinate,VS,SIT,8,1,3,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
35,957,2,Control,CS,SIT,8,35,28,Positive,Positive,Positive,Control_Positive,None
36,954,2,Control,CS,SIT,8,26,49,Positive,Positive,Positive,Control_Positive,None
37,967,2,Control,CS,SIT,8,49,13,Positive,Positive,Positive,Control_Positive,Fasciola
38,966,2,Control,CS,SIT,8,1,10,Positive,Positive,Positive,Control_Positive,None
39,956,2,Control,CS,SIT,8,19,78,Positive,Positive,Positive,Control_Positive,None
40,960,2,Control,CS,SIT,8,20,95,Positive,Positive,Positive,Control_Positive,None
41,54,2,Control,CS,SIT,8,10,39,Positive,Positive,Positive,Control_Positive,None
42,455,2,Control,CS,SIT,8,2,38,Positive,Positive,Positive,Control_Positive,None
43,50,2,Control,CS,SIT,8,44,12,Positive,Positive,Positive,Control_Positive,None
44,453,2,Control,CS,SIT,8,4,8,Negative,Negative,Positive,Control_Positive,Fasciola
45,942,2,Control,CS,SIT,8,29,13,Positive,Positive,Positive,Control_Positive,Fasciola
46,653,2,Control,CS,SIT,8,23,31,Positive,Positive,Positive,Control_Positive,Fasciola
47,457,2,Control,CS,SIT,8,4,14,Positive,Positive,Positive,Control_Positive,None
48,924,2,Control,CS,SIT,8,16,23,Negative,Negative,Positive,Control_Positive,Fasciola
49,938,2,Control,CS,SIT,8,NA,0,Negative,Negative,Negative,Control_Negative,None
50,926,2,Control,CS,SIT,8,18,104,Positive,Positive,Positive,Control_Positive,None
51,964,2,Vaccinate,VS,SIT,8,3,23,Positive,Positive,Positive,Vaccinate_Positive,None
52,962,2,Vaccinate,VS,SIT,8,5,16,Positive,Positive,Positive,Vaccinate_Positive,None
53,959,2,Vaccinate,VS,SIT,8,4,64,Positive,Positive,Positive,Vaccinate_Positive,None
54,48,2,Vaccinate,VS,SIT,8,3,0,Positive,Positive,Negative,Vaccinate_Negative,None
55,449,2,Vaccinate,VS,SIT,8,3,6,Negative,Negative,Positive,Vaccinate_Positive,None
56,63,2,Vaccinate,VS,SIT,8,6,39,Positive,Positive,Positive,Vaccinate_Positive,None
57,948,2,Vaccinate,VS,SIT,8,5,1,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
58,64,2,Vaccinate,VS,SIT,8,0,4,Positive,Positive,Positive,Vaccinate_Positive,None
59,713,2,Vaccinate,VS,SIT,8,1,100,Positive,Positive,Positive,Vaccinate_Positive,None
60,52,2,Vaccinate,VS,SIT,8,4,35,Positive,Positive,Positive,Vaccinate_Positive,None
61,51,2,Vaccinate,VS,SIT,8,1,18,Negative,Negative,Positive,Vaccinate_Positive,None
62,65,2,Vaccinate,VS,SIT,8,1,16,Negative,Negative,Positive,Vaccinate_Positive,None
63,945,2,Vaccinate,VS,SIT,8,1,6,Positive,Positive,Positive,Vaccinate_Positive,None
64,459,2,Vaccinate,VS,SIT,8,2,4,Positive,Positive,Positive,Vaccinate_Positive,None
65,934,2,Vaccinate,VS,SIT,8,0,18,Positive,Positive,Positive,Vaccinate_Positive,None
66,85,2,Vaccinate,VS,SIT,8,14,11,Positive,Positive,Positive,Vaccinate_Positive,None
67,445,2,Vaccinate,VS,SIT,8,2,28,Positive,Positive,Positive,Vaccinate_Positive,None
68,202,I,Vaccinate,V-CS,SIT,8,8,0,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
69,1105,I,Control,C-VS,SIT,8,28,44,Positive,Positive,Positive,Control_Positive,None
70,1128,I,Vaccinate,V-VS,SIT,8,1,0,Negative,Negative,Negative,Vaccinate_Negative,None
71,0068H,I,Vaccinate,V-VS,SIT,8,4,1,Negative,Negative,Positive,Vaccinate_Positive,None
72,0067H,I,Vaccinate,V-VS,SIT,8,3,0,Positive,Positive,Negative,Vaccinate_Negative,None
73,0070H,I,Vaccinate,V-CS,SIT,8,0,3,Negative,Negative,Positive,Vaccinate_Positive,None
74,497,I,Vaccinate,V-VS,SIT,8,1,1,Negative,Negative,Positive,Vaccinate_Positive,None
75,1135,I,Vaccinate,V-CS,SIT,8,6,2,Positive,Positive,Positive,Vaccinate_Positive,None
76,119,I,Control,C-VS,SIT,8,2,3,Positive,Positive,Positive,Control_Positive,None
77,1113,I,Control,C-VS,SIT,8,1,18,Negative,Negative,Positive,Control_Positive,None
78,120,I,Vaccinate,V-VS,SIT,8,1,0,Negative,Negative,Negative,Vaccinate_Negative,Hydatid
79,078H,I,Control,C-CS,SIT,8,5,6,Positive,Positive,Positive,Control_Positive,None
80,1111,I,Vaccinate,V-CS,SIT,8,3,0,Positive,Positive,Negative,Vaccinate_Negative,None
81,495,I,Vaccinate,V-CS,SIT,8,0,4,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
82,1074.1,I,Control,C-VS,SIT,8,0,8,Positive,Positive,Positive,Control_Positive,None
83,099.2.3,I,Control,C-VS,SIT,8,1,2,Positive,Positive,Positive,Control_Positive,None
84,1126,I,Control,C-CS,SIT,8,19,5,Positive,Positive,Positive,Control_Positive,None
85,491,I,Vaccinate,V-VS,SIT,8,13,4,Positive,Positive,Positive,Vaccinate_Positive,None
86,489,I,Control,C-VS,SIT,8,1,5,Positive,Positive,Positive,Control_Positive,None
87,081H,I,Control,C-CS,SIT,8,3,5,Positive,Positive,Positive,Control_Positive,Fasciola
88,Z014.2.2,I,Control,C-CS,SIT,8,15,65,Positive,Positive,Positive,Control_Positive,None
89,493,I,Vaccinate,V-CS,SIT,8,1,0,Negative,Negative,Negative,Vaccinate_Negative,None
90,A.11.2,I,Control,C-VS,SIT,8,0,0,Positive,Positive,Negative,Control_Negative,None
91,204,I,Control,C-VS,SIT,8,0,3,Negative,Negative,Positive,Control_Positive,None
