ID_Uniq,ID1,Batch,Treatment,Group,Diagnosis,Months_Post_Exposure,Skin_Thickness,Total_VL_Score,M_bovis_PCR,IS1081_PCR,VL_Status,Rx_VL_Status,Parasite_At_PM
92,G201,I,Control,C-VS,SIT,8,0,0,Negative,Negative,Negative,Control_Negative,None
93,03.2.2.1,I,Vaccinate,V-VS,SIT,8,1,2,Negative,Negative,Positive,Vaccinate_Positive,None
94,478,I,Control,C-VS,SIT,8,1,0,Negative,Negative,Negative,Control_Negative,None
95,206,I,Vaccinate,V-CS,SIT,8,3,3,Negative,Negative,Positive,Vaccinate_Positive,None
96,475,I,Control,C-VS,SIT,8,1,0,Negative,Negative,Negative,Control_Negative,None
97,1160,I,Control,C-CS,SIT,8,6,2,Negative,Negative,Positive,Control_Positive,None
98,477,I,Control,C-CS,SIT,8,23,15,Positive,Positive,Positive,Control_Positive,Fasciola
99,207,I,Vaccinate,V-CS,SIT,8,5,2,Positive,Positive,Positive,Vaccinate_Positive,None
100,055.1.3,I,Control,C-CS,SIT,8,11,3,Positive,Positive,Positive,Control_Positive,None
101,1165,I,Control,C-CS,SIT,8,7,2,Negative,Negative,Positive,Control_Positive,None
102,1141,I,Control,C-VS,SIT,8,1,3,Negative,Negative,Positive,Control_Positive,None
103,1154,I,Vaccinate,V-CS,SIT,8,1,6,Positive,Positive,Positive,Vaccinate_Positive,None
104,1159,I,Vaccinate,V-VS,SIT,8,4,0,Negative,Negative,Negative,Vaccinate_Negative,None
105,1147,I,Vaccinate,V-CS,SIT,8,6,0,Negative,Negative,Negative,Vaccinate_Negative,None
106,96.5,II,Control,C-VS,SIT,8,3,4,Positive,Positive,Positive,Control_Positive,None
107,099.2.1.1,II,Vaccinate,V-VS,SIT,8,4,3,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
108,132,II,Control,C-CS,SIT,8,6,10,Positive,Positive,Positive,Control_Positive,None
109,1168,II,Vaccinate,V-CS,SIT,8,4,10,Positive,Positive,Positive,Vaccinate_Positive,None
110,1171,II,Control,C-CS,SIT,8,6,6,Positive,Positive,Positive,Control_Positive,None
111,1174,II,Control,C-VS,SIT,8,0,6,Positive,Positive,Positive,Control_Positive,Fasciola
112,1189,II,Control,C-VS,SIT,8,1,4,Positive,Positive,Positive,Control_Positive,Fasciola
113,1192,II,Control,C-VS,SIT,8,1,3,Positive,Positive,Positive,Control_Positive,Fasciola
114,1196,II,Vaccinate,V-CS,SIT,8,NA,0,Negative,Negative,Negative,Vaccinate_Negative,None
115,1198,II,Vaccinate,V-VS,SIT,8,NA,58,Positive,Positive,Positive,Vaccinate_Positive,None
116,110.3.4,II,Vaccinate,V-CS,SIT,8,2,7,Positive,Positive,Positive,Vaccinate_Positive,None
117,081.1.4,II,Vaccinate,V-VS,SIT,8,4,11,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
118,087.2.3,II,Vaccinate,V-VS,SIT,8,1,1,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
119,024.2.1.1,II,Control,C-CS,SIT,8,NA,0,Negative,Negative,Negative,Control_Negative,None
120,083.3.4,II,Control,C-VS,SIT,8,1,4,Negative,Negative,Positive,Control_Positive,Fasciola
121,08.2.4.4,II,Control,C-VS,SIT,8,3,13,Negative,Negative,Positive,Control_Positive,Fasciola
122,410.1.1.2,II,Vaccinate,V-VS,SIT,8,1,3,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
123,135,II,Vaccinate,V-VS,SIT,8,5,2,Positive,Positive,Positive,Vaccinate_Positive,None
124,139,II,Vaccinate,V-CS,SIT,8,4,1,Positive,Positive,Positive,Vaccinate_Positive,None
125,140,II,Vaccinate,V-CS,SIT,8,1,0,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
126,501,II,Vaccinate,V-VS,SIT,8,0,4,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
127,503,II,Control,C-CS,SIT,8,5,5,Positive,Positive,Positive,Control_Positive,None
128,505,II,Vaccinate,V-VS,SIT,8,2,6,Positive,Positive,Positive,Vaccinate_Positive,None
129,507,II,Vaccinate,V-CS,SIT,8,11,5,Positive,Positive,Positive,Vaccinate_Positive,None
130,183,II,Control,C-CS,SIT,8,9,13,Positive,Positive,Positive,Control_Positive,Fasciola
131,182,II,Control,C-CS,SIT,8,0,2,Positive,Positive,Positive,Control_Positive,None
132,180,II,Vaccinate,V-CS,SIT,8,0,0,Negative,Negative,Negative,Vaccinate_Negative,None
133,196,II,Control,C-CS,SIT,8,12,35,Positive,Positive,Positive,Control_Positive,None
134,199,II,Control,C-CS,SIT,8,0,12,Positive,Positive,Positive,Control_Positive,None
1,119.1.3,1,Control,CS,SIT,12,11,116,Positive,Positive,Positive,Control_Positive,None
2,933,1,Control,CS,SIT,12,2,60,Positive,Positive,Positive,Control_Positive,None
3,893,1,Control,CS,SIT,12,9,10,Positive,Positive,Positive,Control_Positive,None
4,928,1,Control,CS,SIT,12,6,15,Negative,Negative,Positive,Control_Positive,Fasciola
5,091.1.3,1,Control,CS,SIT,12,14,23,Negative,Negative,Positive,Control_Positive,None
6,522,1,Control,CS,SIT,12,10,4,Positive,Positive,Positive,Control_Positive,None
7,891,1,Control,CS,SIT,12,19,3,Positive,Positive,Positive,Control_Positive,None
8,870,1,Control,CS,SIT,12,16,11,Negative,Negative,Positive,Control_Positive,None
9,525,1,Control,CS,SIT,12,18,53,Negative,Negative,Positive,Control_Positive,None
10,79,1,Control,CS,SIT,12,12,2,Negative,Negative,Positive,Control_Positive,None
11,448,1,Control,CS,SIT,12,3,71,Positive,Positive,Positive,Control_Positive,None
12,880,1,Control,CS,SIT,12,16,78,Positive,Positive,Positive,Control_Positive,None
13,520,1,Control,CS,SIT,12,15,34,Positive,Positive,Positive,Control_Positive,None
14,885,1,Control,CS,SIT,12,15,12,Positive,Positive,Positive,Control_Positive,None
15,882,1,Control,CS,SIT,12,27,72,Positive,Positive,Positive,Control_Positive,None
16,443,1,Control,CS,SIT,12,5,23,Positive,Positive,Positive,Control_Positive,Fasciola
17,521,1,Control,CS,SIT,12,9,16,Negative,Negative,Positive,Control_Positive,Fasciola
18,098.1.1.2,1,Vaccinate,VS,SIT,12,11,28,Positive,Positive,Positive,Vaccinate_Positive,None
19,919,1,Vaccinate,VS,SIT,12,8,72,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
20,518,1,Vaccinate,VS,SIT,12,NA,0,Negative,Negative,Negative,Vaccinate_Negative,None
21,936,1,Vaccinate,VS,SIT,12,0,5,Negative,Negative,Positive,Vaccinate_Positive,None
22,087.2.2,1,Vaccinate,VS,SIT,12,10,9,Negative,Negative,Positive,Vaccinate_Positive,None
23,890,1,Vaccinate,VS,SIT,12,NA,0,Negative,Negative,Negative,Vaccinate_Negative,None
24,914,1,Vaccinate,VS,SIT,12,1,4,Negative,Negative,Positive,Vaccinate_Positive,None
25,889,1,Vaccinate,VS,SIT,12,14,11,Positive,Positive,Positive,Vaccinate_Positive,None
26,102.1.1.1,1,Vaccinate,VS,SIT,12,4,15,Positive,Positive,Positive,Vaccinate_Positive,None
27,77,1,Vaccinate,VS,SIT,12,12,19,Positive,Positive,Positive,Vaccinate_Positive,None
28,901,1,Vaccinate,VS,SIT,12,16,8,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
29,902,1,Vaccinate,VS,SIT,12,6,9,Positive,Positive,Positive,Vaccinate_Positive,None
30,875,1,Vaccinate,VS,SIT,12,15,8,Positive,Positive,Positive,Vaccinate_Positive,None
31,895,1,Vaccinate,VS,SIT,12,11,7,Negative,Negative,Positive,Vaccinate_Positive,None
32,524,1,Vaccinate,VS,SIT,12,1,4,Positive,Positive,Positive,Vaccinate_Positive,None
33,449,1,Vaccinate,VS,SIT,12,16,6,Positive,Positive,Positive,Vaccinate_Positive,None
34,84,1,Vaccinate,VS,SIT,12,0,3,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
35,957,2,Control,CS,SIT,12,24,28,Positive,Positive,Positive,Control_Positive,None
36,954,2,Control,CS,SIT,12,35,49,Positive,Positive,Positive,Control_Positive,None
37,967,2,Control,CS,SIT,12,24,13,Positive,Positive,Positive,Control_Positive,Fasciola
38,966,2,Control,CS,SIT,12,22,10,Positive,Positive,Positive,Control_Positive,None
39,956,2,Control,CS,SIT,12,14,78,Positive,Positive,Positive,Control_Positive,None
40,960,2,Control,CS,SIT,12,5,95,Positive,Positive,Positive,Control_Positive,None
41,54,2,Control,CS,SIT,12,19,39,Positive,Positive,Positive,Control_Positive,None
42,455,2,Control,CS,SIT,12,12,38,Positive,Positive,Positive,Control_Positive,None
43,50,2,Control,CS,SIT,12,22,12,Positive,Positive,Positive,Control_Positive,None
44,453,2,Control,CS,SIT,12,4,8,Negative,Negative,Positive,Control_Positive,Fasciola
45,942,2,Control,CS,SIT,12,16,13,Positive,Positive,Positive,Control_Positive,Fasciola
46,653,2,Control,CS,SIT,12,15,31,Positive,Positive,Positive,Control_Positive,Fasciola
47,457,2,Control,CS,SIT,12,11,14,Positive,Positive,Positive,Control_Positive,None
48,924,2,Control,CS,SIT,12,14,23,Negative,Negative,Positive,Control_Positive,Fasciola
49,938,2,Control,CS,SIT,12,NA,0,Negative,Negative,Negative,Control_Negative,None
50,926,2,Control,CS,SIT,12,12,104,Positive,Positive,Positive,Control_Positive,None
51,964,2,Vaccinate,VS,SIT,12,16,23,Positive,Positive,Positive,Vaccinate_Positive,None
52,962,2,Vaccinate,VS,SIT,12,3,16,Positive,Positive,Positive,Vaccinate_Positive,None
53,959,2,Vaccinate,VS,SIT,12,5,64,Positive,Positive,Positive,Vaccinate_Positive,None
54,48,2,Vaccinate,VS,SIT,12,11,0,Positive,Positive,Negative,Vaccinate_Negative,None
55,449,2,Vaccinate,VS,SIT,12,1,6,Negative,Negative,Positive,Vaccinate_Positive,None
56,63,2,Vaccinate,VS,SIT,12,12,39,Positive,Positive,Positive,Vaccinate_Positive,None
57,948,2,Vaccinate,VS,SIT,12,14,1,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
58,64,2,Vaccinate,VS,SIT,12,10,4,Positive,Positive,Positive,Vaccinate_Positive,None
59,713,2,Vaccinate,VS,SIT,12,3,100,Positive,Positive,Positive,Vaccinate_Positive,None
60,52,2,Vaccinate,VS,SIT,12,9,35,Positive,Positive,Positive,Vaccinate_Positive,None
61,51,2,Vaccinate,VS,SIT,12,30,18,Negative,Negative,Positive,Vaccinate_Positive,None
62,65,2,Vaccinate,VS,SIT,12,41,16,Negative,Negative,Positive,Vaccinate_Positive,None
63,945,2,Vaccinate,VS,SIT,12,9,6,Positive,Positive,Positive,Vaccinate_Positive,None
64,459,2,Vaccinate,VS,SIT,12,5,4,Positive,Positive,Positive,Vaccinate_Positive,None
65,934,2,Vaccinate,VS,SIT,12,39,18,Positive,Positive,Positive,Vaccinate_Positive,None
66,85,2,Vaccinate,VS,SIT,12,5,11,Positive,Positive,Positive,Vaccinate_Positive,None
67,445,2,Vaccinate,VS,SIT,12,10,28,Positive,Positive,Positive,Vaccinate_Positive,None
68,202,I,Vaccinate,V-CS,SIT,12,7,0,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
69,1105,I,Control,C-VS,SIT,12,27,44,Positive,Positive,Positive,Control_Positive,None
70,1128,I,Vaccinate,V-VS,SIT,12,3,0,Negative,Negative,Negative,Vaccinate_Negative,None
71,0068H,I,Vaccinate,V-VS,SIT,12,1,1,Negative,Negative,Positive,Vaccinate_Positive,None
72,0067H,I,Vaccinate,V-VS,SIT,12,0,0,Positive,Positive,Negative,Vaccinate_Negative,None
73,0070H,I,Vaccinate,V-CS,SIT,12,1,3,Negative,Negative,Positive,Vaccinate_Positive,None
74,497,I,Vaccinate,V-VS,SIT,12,2,1,Negative,Negative,Positive,Vaccinate_Positive,None
75,1135,I,Vaccinate,V-CS,SIT,12,6,2,Positive,Positive,Positive,Vaccinate_Positive,None
76,119,I,Control,C-VS,SIT,12,0,3,Positive,Positive,Positive,Control_Positive,None
77,1113,I,Control,C-VS,SIT,12,1,18,Negative,Negative,Positive,Control_Positive,None
78,120,I,Vaccinate,V-VS,SIT,12,1,0,Negative,Negative,Negative,Vaccinate_Negative,Hydatid
79,078H,I,Control,C-CS,SIT,12,4,6,Positive,Positive,Positive,Control_Positive,None
80,1111,I,Vaccinate,V-CS,SIT,12,4,0,Positive,Positive,Negative,Vaccinate_Negative,None
81,495,I,Vaccinate,V-CS,SIT,12,-1,4,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
82,1074.1,I,Control,C-VS,SIT,12,1,8,Positive,Positive,Positive,Control_Positive,None
83,099.2.3,I,Control,C-VS,SIT,12,0,2,Positive,Positive,Positive,Control_Positive,None
84,1126,I,Control,C-CS,SIT,12,23,5,Positive,Positive,Positive,Control_Positive,None
85,491,I,Vaccinate,V-VS,SIT,12,6,4,Positive,Positive,Positive,Vaccinate_Positive,None
86,489,I,Control,C-VS,SIT,12,5,5,Positive,Positive,Positive,Control_Positive,None
87,081H,I,Control,C-CS,SIT,12,2,5,Positive,Positive,Positive,Control_Positive,Fasciola
88,Z014.2.2,I,Control,C-CS,SIT,12,5,65,Positive,Positive,Positive,Control_Positive,None
89,493,I,Vaccinate,V-CS,SIT,12,0,0,Negative,Negative,Negative,Vaccinate_Negative,None
90,A.11.2,I,Control,C-VS,SIT,12,0,0,Positive,Positive,Negative,Control_Negative,None
91,204,I,Control,C-VS,SIT,12,1,3,Negative,Negative,Positive,Control_Positive,None
92,G201,I,Control,C-VS,SIT,12,1,0,Negative,Negative,Negative,Control_Negative,None
93,03.2.2.1,I,Vaccinate,V-VS,SIT,12,0,2,Negative,Negative,Positive,Vaccinate_Positive,None
94,478,I,Control,C-VS,SIT,12,1,0,Negative,Negative,Negative,Control_Negative,None
95,206,I,Vaccinate,V-CS,SIT,12,0,3,Negative,Negative,Positive,Vaccinate_Positive,None
96,475,I,Control,C-VS,SIT,12,1,0,Negative,Negative,Negative,Control_Negative,None
97,1160,I,Control,C-CS,SIT,12,6,2,Negative,Negative,Positive,Control_Positive,None
98,477,I,Control,C-CS,SIT,12,-1,15,Positive,Positive,Positive,Control_Positive,Fasciola
99,207,I,Vaccinate,V-CS,SIT,12,2,2,Positive,Positive,Positive,Vaccinate_Positive,None
100,055.1.3,I,Control,C-CS,SIT,12,1,3,Positive,Positive,Positive,Control_Positive,None
101,1165,I,Control,C-CS,SIT,12,8,2,Negative,Negative,Positive,Control_Positive,None
102,1141,I,Control,C-VS,SIT,12,-1,3,Negative,Negative,Positive,Control_Positive,None
103,1154,I,Vaccinate,V-CS,SIT,12,3,6,Positive,Positive,Positive,Vaccinate_Positive,None
104,1159,I,Vaccinate,V-VS,SIT,12,0,0,Negative,Negative,Negative,Vaccinate_Negative,None
105,1147,I,Vaccinate,V-CS,SIT,12,3,0,Negative,Negative,Negative,Vaccinate_Negative,None
106,96.5,II,Control,C-VS,SIT,12,4,4,Positive,Positive,Positive,Control_Positive,None
107,099.2.1.1,II,Vaccinate,V-VS,SIT,12,8,3,Negative,Negative,Positive,Vaccinate_Positive,Fasciola
108,132,II,Control,C-CS,SIT,12,1,10,Positive,Positive,Positive,Control_Positive,None
109,1168,II,Vaccinate,V-CS,SIT,12,2,10,Positive,Positive,Positive,Vaccinate_Positive,None
110,1171,II,Control,C-CS,SIT,12,5,6,Positive,Positive,Positive,Control_Positive,None
111,1174,II,Control,C-VS,SIT,12,1,6,Positive,Positive,Positive,Control_Positive,Fasciola
112,1189,II,Control,C-VS,SIT,12,1,4,Positive,Positive,Positive,Control_Positive,Fasciola
113,1192,II,Control,C-VS,SIT,12,1,3,Positive,Positive,Positive,Control_Positive,Fasciola
114,1196,II,Vaccinate,V-CS,SIT,12,NA,0,Negative,Negative,Negative,Vaccinate_Negative,None
115,1198,II,Vaccinate,V-VS,SIT,12,NA,58,Positive,Positive,Positive,Vaccinate_Positive,None
116,110.3.4,II,Vaccinate,V-CS,SIT,12,6,7,Positive,Positive,Positive,Vaccinate_Positive,None
117,081.1.4,II,Vaccinate,V-VS,SIT,12,7,11,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
118,087.2.3,II,Vaccinate,V-VS,SIT,12,1,1,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
119,024.2.1.1,II,Control,C-CS,SIT,12,NA,0,Negative,Negative,Negative,Control_Negative,None
120,083.3.4,II,Control,C-VS,SIT,12,1,4,Negative,Negative,Positive,Control_Positive,Fasciola
121,08.2.4.4,II,Control,C-VS,SIT,12,0,13,Negative,Negative,Positive,Control_Positive,Fasciola
122,410.1.1.2,II,Vaccinate,V-VS,SIT,12,1,3,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
123,135,II,Vaccinate,V-VS,SIT,12,1,2,Positive,Positive,Positive,Vaccinate_Positive,None
124,139,II,Vaccinate,V-CS,SIT,12,4,1,Positive,Positive,Positive,Vaccinate_Positive,None
125,140,II,Vaccinate,V-CS,SIT,12,1,0,Positive,Positive,Negative,Vaccinate_Negative,Fasciola
126,501,II,Vaccinate,V-VS,SIT,12,0,4,Positive,Positive,Positive,Vaccinate_Positive,Fasciola
127,503,II,Control,C-CS,SIT,12,4,5,Positive,Positive,Positive,Control_Positive,None
128,505,II,Vaccinate,V-VS,SIT,12,1,6,Positive,Positive,Positive,Vaccinate_Positive,None
129,507,II,Vaccinate,V-CS,SIT,12,5,5,Positive,Positive,Positive,Vaccinate_Positive,None
130,183,II,Control,C-CS,SIT,12,4,13,Positive,Positive,Positive,Control_Positive,Fasciola
131,182,II,Control,C-CS,SIT,12,0,2,Positive,Positive,Positive,Control_Positive,None
132,180,II,Vaccinate,V-CS,SIT,12,NA,0,Negative,Negative,Negative,Vaccinate_Negative,None
133,196,II,Control,C-CS,SIT,12,2,35,Positive,Positive,Positive,Control_Positive,None
134,199,II,Control,C-CS,SIT,12,0,12,Positive,Positive,Positive,Control_Positive,None
