Uni_ID,ID1,ID2,Batch_Group,Exposure,Treatment,Group,Role,Diagnosis,M2,M6,M10,M14,D_M2,D_M6,D_M10,D_M14,Culture_PCR_Or_VL,Culture_PCR_Or_VL_D,M_bovis_PCR,VL_D,VL,Total_VL_Score,IS1081_PCR,MTCAni_PCR,M_bovis_PCR
1,119.1.3,43,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,0,0,1,0,0,0,0,Positive,1,1,1,Yes,116,Positive,Positive,Positive
2,933,46,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,1,7,2,1,0,1,1,0,Positive,1,1,1,Yes,60,Positive,Positive,Positive
3,893,24,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,1,0,14,5,0,0,1,1,Positive,1,1,1,Yes,10,Positive,Positive,Positive
4,928,44,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,2,5,2,0,1,1,1,Positive,1,0,1,Yes,15,Negative,Negative,Negative
5,091.1.3,42,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,1,11,5,3,0,1,1,1,Positive,1,0,1,Yes,23,Negative,Negative,Negative
6,522,18,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,1,10,4,0,0,1,1,0,Positive,1,1,1,Yes,4,Positive,Positive,Positive
7,891,17,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,15,9,3,0,1,1,1,Positive,1,1,1,Yes,3,Positive,Positive,Positive
8,870,15,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,1,10,14,0,0,1,1,Positive,1,0,1,Yes,11,Negative,Negative,Negative
9,525,33,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,4,10,2,0,1,1,1,Positive,1,0,1,Yes,53,Negative,Negative,Negative
10,79,34,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,0,2,2,0,0,1,1,Positive,1,0,1,Yes,2,Negative,Negative,Negative
11,448,27,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,1,1,2,0,0,0,1,Positive,1,1,1,Yes,71,Positive,Positive,Positive
12,880,8,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,1,1,10,6,0,0,1,1,Positive,1,1,1,Yes,78,Positive,Positive,Positive
13,520,30,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,1,4,4,4,0,1,1,1,Positive,1,1,1,Yes,34,Positive,Positive,Positive
14,885,28,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,1,0,0,2,0,0,0,1,Positive,1,1,1,Yes,12,Positive,Positive,Positive
15,882,25,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,0,5,3,0,0,1,1,Positive,1,1,1,Yes,72,Positive,Positive,Positive
16,443,40,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,0,1,5,0,0,0,1,Positive,1,1,1,Yes,23,Positive,Positive,Positive
17,521,39,1,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,1,0,2,3,0,0,1,1,Positive,1,0,1,Yes,16,Negative,Negative,Negative
18,098.1.1.2,35,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,1,4,2,0,0,1,1,Positive,1,1,1,Yes,28,Positive,Positive,Positive
19,919,36,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,13,3,4,0,1,1,1,Positive,1,0,1,Yes,72,Negative,Negative,Negative
20,518,37,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,NA,NA,NA,0,NA,NA,NA,Negative,0,0,0,No,0,Negative,Negative,Negative
21,936,45,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,3,2,0,0,1,1,0,Positive,1,0,1,Yes,5,Negative,Negative,Negative
22,087.2.2,41,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,2,1,2,0,1,0,1,Positive,1,0,1,Yes,9,Negative,Negative,Negative
23,890,31,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,NA,NA,NA,0,NA,NA,NA,Negative,0,0,0,No,0,Negative,Negative,Negative
24,914,19,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,1,2,0,0,0,1,0,Positive,1,0,1,Yes,4,Negative,Negative,Negative
25,889,23,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,0,10,6,0,0,1,1,Positive,1,1,1,Yes,11,Positive,Positive,Positive
26,102.1.1.1,29,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,1,0,1,0,0,0,0,Positive,1,1,1,Yes,15,Positive,Positive,Positive
27,77,12,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,0,0,4,0,0,0,1,Positive,1,1,1,Yes,19,Positive,Positive,Positive
28,901,14,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,0,11,6,0,0,1,1,Positive,1,1,1,Yes,8,Positive,Positive,Positive
29,902,16,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,2,3,1,0,1,1,0,Positive,1,1,1,Yes,9,Positive,Positive,Positive
30,875,11,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,2,0,5,3,1,0,1,1,Positive,1,1,1,Yes,8,Positive,Positive,Positive
31,895,26,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,0,3,2,0,0,1,1,Positive,1,0,1,Yes,7,Negative,Negative,Negative
32,524,21,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,2,0,0,1,1,0,0,0,Positive,1,1,1,Yes,4,Positive,Positive,Positive
33,449,47,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,6,4,2,0,1,1,1,Positive,1,1,1,Yes,6,Positive,Positive,Positive
34,84,22,1,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,1,0,1,0,0,0,0,Positive,1,1,1,Yes,3,Positive,Positive,Positive
35,957,11-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,2,5,6,0,1,1,1,Positive,1,1,1,Yes,28,Positive,Positive,Positive
36,954,14-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,6,4,6,0,1,1,1,Positive,1,1,1,Yes,49,Positive,Positive,Positive
37,967,12-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,0,19,3,0,0,1,1,Positive,1,1,1,Yes,13,Positive,Positive,Positive
38,966,Feb-32,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,1,1,1,14,0,0,0,1,Positive,1,1,1,Yes,10,Positive,Positive,Positive
39,956,28-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,2,2,1,0,1,1,0,Positive,1,1,1,Yes,78,Positive,Positive,Positive
40,960,16-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,0,5,5,0,0,1,1,Positive,1,1,1,Yes,95,Positive,Positive,Positive
41,54,1-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,10,6,4,0,1,1,1,Positive,1,1,1,Yes,39,Positive,Positive,Positive
42,455,6-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,0,0,3,0,0,0,1,Positive,1,1,1,Yes,38,Positive,Positive,Positive
43,50,15-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,4,12,13,0,1,1,1,Positive,1,1,1,Yes,12,Positive,Positive,Positive
44,453,8-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,14,0,1,0,1,0,0,Positive,1,0,1,Yes,8,Negative,Negative,Negative
45,942,17-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,22,10,6,0,1,1,1,Positive,1,1,1,Yes,13,Positive,Positive,Positive
46,653,Feb-35,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,5,3,4,0,1,1,1,Positive,1,1,1,Yes,31,Positive,Positive,Positive
47,457,10-Feb,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,6,1,4,0,1,0,1,Positive,1,1,1,Yes,14,Positive,Positive,Positive
48,924,2-1P,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,6,14,10,0,1,1,1,Positive,1,0,1,Yes,23,Negative,Negative,Negative
49,938,3-1P,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,0,1,NA,NA,0,0,NA,NA,Negative,0,0,0,No,0,Negative,Negative,Negative
50,926,8-1P,2,Unvaccinated_Cows,Control,CS,Sentinel_Seeder,DST10,1,6,2,1,0,1,1,0,Positive,1,1,1,Yes,104,Positive,Positive,Positive
51,964,13-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,0,2,1,0,0,1,0,Positive,1,1,1,Yes,23,Positive,Positive,Positive
52,962,25-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,0,1,3,0,0,0,1,Positive,1,1,1,Yes,16,Positive,Positive,Positive
53,959,9-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,2,3,2,0,1,1,1,Positive,1,1,1,Yes,64,Positive,Positive,Positive
54,48,21-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,1,1,0,0,0,0,0,Positive,1,1,0,No,0,Positive,Positive,Positive
55,449,Feb-33,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,0,0,0,0,0,0,0,Positive,1,0,1,Yes,6,Negative,Negative,Negative
56,63,19-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,3,1,4,0,1,0,1,Positive,1,1,1,Yes,39,Positive,Positive,Positive
57,948,Feb-36,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,6,4,5,0,1,1,1,Positive,1,0,1,Yes,1,Negative,Negative,Negative
58,64,23-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,0,0,2,0,0,0,1,Positive,1,1,1,Yes,4,Positive,Positive,Positive
59,713,27-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,1,1,1,0,0,0,0,Positive,1,1,1,Yes,100,Positive,Positive,Positive
60,52,3-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,0,1,2,0,0,0,1,Positive,1,1,1,Yes,35,Positive,Positive,Positive
61,51,7-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,0,0,12,0,0,0,1,Positive,1,0,1,Yes,18,Negative,Negative,Negative
62,65,2-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,1,1,12,0,0,0,1,Positive,1,0,1,Yes,16,Negative,Negative,Negative
63,945,5-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,0,1,2,0,0,0,1,Positive,1,1,1,Yes,6,Positive,Positive,Positive
64,459,4-Feb,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,0,1,1,0,0,0,0,Positive,1,1,1,Yes,4,Positive,Positive,Positive
65,934,Feb-38,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,0,1,10,0,0,0,1,Positive,1,1,1,Yes,18,Positive,Positive,Positive
66,85,4-1P,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,0,0,1,0,0,0,0,0,Positive,1,1,1,Yes,11,Positive,Positive,Positive
67,445,11-1P,2,Unvaccinated_Cows,Vaccinate,VS,Sentinel_Seeder,DST10,1,0,0,1,0,0,0,0,Positive,1,1,1,Yes,28,Positive,Positive,Positive
68,202,On34,I,Control,Vaccinate,V-CS,Sentinel,DST10,0,0,0,2,0,0,0,1,Positive,1,1,0,No,0,Positive,Positive,Positive
69,1105,On35,I,Vaccinate,Control,C-VS,Sentinel,DST10,1,1,4,6,0,0,1,1,Positive,1,1,1,Yes,44,Positive,Positive,Positive
70,1128,On12,I,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,0,0,0,1,0,0,0,0,Negative,0,0,0,No,0,Negative,Negative,Negative
71,0068H,On19,I,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,0,1,0,1,0,0,0,0,Positive,1,0,1,Yes,1,Negative,Negative,Negative
72,0067H,On03,I,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,3,0,0,-1,1,0,0,0,Positive,1,1,0,No,0,Positive,Positive,Positive
73,0070H,On17,I,Control,Vaccinate,V-CS,Sentinel,DST10,0,0,0,0,0,0,0,0,Positive,1,0,1,Yes,3,Negative,Negative,Negative
74,497,On15,I,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,-1,0,1,2,0,0,0,1,Positive,1,0,1,Yes,1,Negative,Negative,Negative
75,1135,On05,I,Control,Vaccinate,V-CS,Sentinel,DST10,0,1,0,2,0,0,0,1,Positive,1,1,1,Yes,2,Positive,Positive,Positive
76,119,On33,I,Vaccinate,Control,C-VS,Sentinel,DST10,0,1,1,1,0,0,0,0,Positive,1,1,1,Yes,3,Positive,Positive,Positive
77,1113,On37,I,Vaccinate,Control,C-VS,Sentinel,DST10,-1,0,1,1,0,0,0,0,Positive,1,0,1,Yes,18,Negative,Negative,Negative
78,120,On32,I,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,0,2,0,2,0,1,0,1,Negative,0,0,0,No,0,Negative,Negative,Negative
79,078H,On18,I,Control,Control,C-CS,Sentinel,DST10,0,10,4,3,0,1,1,1,Positive,1,1,1,Yes,6,Positive,Positive,Positive
80,1111,On11,I,Control,Vaccinate,V-CS,Sentinel,DST10,0,1,1,1,0,0,0,0,Positive,1,1,0,No,0,Positive,Positive,Positive
81,495,On08,I,Control,Vaccinate,V-CS,Sentinel,DST10,-1,1,0,0,0,0,0,0,Positive,1,1,1,Yes,4,Positive,Positive,Positive
82,1074.1,On09,I,Vaccinate,Control,C-VS,Sentinel,DST10,0,0,1,2,0,0,0,1,Positive,1,1,1,Yes,8,Positive,Positive,Positive
83,099.2.3,On39,I,Vaccinate,Control,C-VS,Sentinel,DST10,0,0,0,1,0,0,0,0,Positive,1,1,1,Yes,2,Positive,Positive,Positive
84,1126,On14,I,Control,Control,C-CS,Sentinel,DST10,1,11,5,7,0,1,1,1,Positive,1,1,1,Yes,5,Positive,Positive,Positive
85,491,On16,I,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,0,0,1,1,0,0,0,0,Positive,1,1,1,Yes,4,Positive,Positive,Positive
86,489,On30,I,Vaccinate,Control,C-VS,Sentinel,DST10,0,0,0,0,0,0,0,0,Positive,1,1,1,Yes,5,Positive,Positive,Positive
87,081H,On31,I,Control,Control,C-CS,Sentinel,DST10,0,0,3,1,0,0,1,0,Positive,1,1,1,Yes,5,Positive,Positive,Positive
88,Z014.2.2,On38,I,Control,Control,C-CS,Sentinel,DST10,1,0,4,1,0,0,1,0,Positive,1,1,1,Yes,65,Positive,Positive,Positive
89,493,On13,I,Control,Vaccinate,V-CS,Sentinel,DST10,0,1,0,0,0,0,0,0,Negative,0,0,0,No,0,Negative,Negative,Negative
90,A.11.2,On01,I,Vaccinate,Control,C-VS,Sentinel,DST10,0,1,1,1,0,0,0,0,Positive,1,1,0,No,0,Positive,Positive,Positive
91,204,On04,I,Vaccinate,Control,C-VS,Sentinel,DST10,0,0,0,0,0,0,0,0,Positive,1,0,1,Yes,3,Negative,Negative,Negative
92,G201,On36,I,Vaccinate,Control,C-VS,Sentinel,DST10,-1,0,0,1,0,0,0,0,Negative,0,0,0,No,0,Negative,Negative,Negative
93,03.2.2.1,On20,I,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,1,1,0,0,0,0,0,0,Positive,1,0,1,Yes,2,Negative,Negative,Negative
94,478,On45,I,Vaccinate,Control,C-VS,Sentinel,DST10,0,0,0,0,0,0,0,0,Negative,0,0,0,No,0,Negative,Negative,Negative
95,206,On25,I,Control,Vaccinate,V-CS,Sentinel,DST10,0,1,0,0,0,0,0,0,Positive,1,0,1,Yes,3,Negative,Negative,Negative
96,475,On28,I,Vaccinate,Control,C-VS,Sentinel,DST10,0,-1,0,0,0,0,0,0,Negative,0,0,0,No,0,Negative,Negative,Negative
97,1160,On48,I,Control,Control,C-CS,Sentinel,DST10,0,0,0,0,0,0,0,0,Positive,1,0,1,Yes,2,Negative,Negative,Negative
98,477,On46,I,Control,Control,C-CS,Sentinel,DST10,0,0,3,1,0,0,1,0,Positive,1,1,1,Yes,15,Positive,Positive,Positive
99,207,On44,I,Control,Vaccinate,V-CS,Sentinel,DST10,1,0,0,2,0,0,0,1,Positive,1,1,1,Yes,2,Positive,Positive,Positive
100,055.1.3,On29,I,Control,Control,C-CS,Sentinel,DST10,-1,0,2,0,0,0,1,0,Positive,1,1,1,Yes,3,Positive,Positive,Positive
101,1165,On24,I,Control,Control,C-CS,Sentinel,DST10,1,0,0,0,0,0,0,0,Positive,1,0,1,Yes,2,Negative,Negative,Negative
102,1141,On22,I,Vaccinate,Control,C-VS,Sentinel,DST10,0,0,1,1,0,0,0,0,Positive,1,0,1,Yes,3,Negative,Negative,Negative
103,1154,On41,I,Control,Vaccinate,V-CS,Sentinel,DST10,0,-1,1,0,0,0,0,0,Positive,1,1,1,Yes,6,Positive,Positive,Positive
104,1159,On47,I,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,0,1,0,1,0,0,0,0,Negative,0,0,0,No,0,Negative,Negative,Negative
105,1147,On43,I,Control,Vaccinate,V-CS,Sentinel,DST10,0,0,0,1,0,0,0,0,Negative,0,0,0,No,0,Negative,Negative,Negative
106,96.5,On61,II,Vaccinate,Control,C-VS,Sentinel,DST10,0,0,2,1,0,0,1,0,Positive,1,1,1,Yes,4,Positive,Positive,Positive
107,099.2.1.1,On51,II,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,1,0,0,0,0,0,0,0,Positive,1,0,1,Yes,3,Negative,Negative,Negative
108,132,On71,II,Control,Control,C-CS,Sentinel,DST10,0,6,1,1,0,1,0,0,Positive,1,1,1,Yes,10,Positive,Positive,Positive
109,1168,On59,II,Control,Vaccinate,V-CS,Sentinel,DST10,0,0,1,0,0,0,0,0,Positive,1,1,1,Yes,10,Positive,Positive,Positive
110,1171,On70,II,Control,Control,C-CS,Sentinel,DST10,0,0,2,2,0,0,1,1,Positive,1,1,1,Yes,6,Positive,Positive,Positive
111,1174,On62,II,Vaccinate,Control,C-VS,Sentinel,DST10,0,-1,1,1,0,0,0,0,Positive,1,1,1,Yes,6,Positive,Positive,Positive
112,1189,On56,II,Vaccinate,Control,C-VS,Sentinel,DST10,0,0,1,1,0,0,0,0,Positive,1,1,1,Yes,4,Positive,Positive,Positive
113,1192,On49,II,Vaccinate,Control,C-VS,Sentinel,DST10,0,1,1,0,0,0,0,0,Positive,1,1,1,Yes,3,Positive,Negative,Positive
114,1196,On68,II,Control,Vaccinate,V-CS,Sentinel,DST10,0,NA,NA,NA,0,NA,NA,NA,Negative,0,0,0,No,0,Negative,Negative,Negative
115,1198,On78,II,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,2,2,NA,NA,1,1,NA,NA,Positive,1,1,1,Yes,58,Positive,Positive,Positive
116,110.3.4,On50,II,Control,Vaccinate,V-CS,Sentinel,DST10,0,0,2,1,0,0,1,0,Positive,1,1,1,Yes,7,Positive,Positive,Positive
117,081.1.4,On54,II,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,1,1,1,1,0,0,0,0,Positive,1,1,1,Yes,11,Positive,Positive,Positive
118,087.2.3,On72,II,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,0,1,0,1,0,0,0,0,Positive,1,1,0,No,1,Positive,Positive,Positive
119,024.2.1.1,On75,II,Control,Control,C-CS,Sentinel,DST10,0,NA,NA,NA,0,NA,NA,NA,Negative,0,0,0,No,0,Negative,Negative,Negative
120,083.3.4,On60,II,Vaccinate,Control,C-VS,Sentinel,DST10,0,0,1,1,0,0,0,0,Positive,1,0,1,Yes,4,Negative,Negative,Negative
121,08.2.4.4,On58,II,Vaccinate,Control,C-VS,Sentinel,DST10,1,1,0,1,0,0,0,0,Positive,1,0,1,Yes,13,Negative,Negative,Negative
122,410.1.1.2,On67,II,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,0,1,1,1,0,0,0,0,Positive,1,1,1,Yes,3,Positive,Positive,Positive
123,135,On52,II,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,0,1,0,1,0,0,0,0,Positive,1,1,1,Yes,2,Positive,Positive,Positive
124,139,On53,II,Control,Vaccinate,V-CS,Sentinel,DST10,1,-1,1,0,0,0,0,0,Positive,1,1,1,Yes,1,Positive,Positive,Positive
125,140,On66,II,Control,Vaccinate,V-CS,Sentinel,DST10,1,1,1,1,0,0,0,0,Positive,1,1,0,No,0,Positive,Positive,Positive
126,501,On65,II,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,1,1,0,1,0,0,0,0,Positive,1,1,1,Yes,4,Positive,Positive,Positive
127,503,On73,II,Control,Control,C-CS,Sentinel,DST10,1,1,1,1,0,0,0,0,Positive,1,1,1,Yes,5,Positive,Positive,Positive
128,505,On64,II,Vaccinate,Vaccinate,V-VS,Sentinel,DST10,1,0,0,1,0,0,0,0,Positive,1,1,1,Yes,6,Positive,Positive,Positive
129,507,On63,II,Control,Vaccinate,V-CS,Sentinel,DST10,0,1,3,1,0,0,1,0,Positive,1,1,1,Yes,5,Positive,Positive,Positive
130,183,On69,II,Control,Control,C-CS,Sentinel,DST10,0,5,4,2,0,1,1,1,Positive,1,1,1,Yes,13,Positive,Positive,Positive
131,182,On55,II,Control,Control,C-CS,Sentinel,DST10,0,0,0,0,0,0,0,0,Positive,1,1,1,Yes,2,Positive,Positive,Positive
132,180,On57,II,Control,Vaccinate,V-CS,Sentinel,DST10,1,1,0,NA,0,0,0,NA,Negative,0,0,0,No,0,Negative,Negative,Negative
